page,product_name,price_range,rating
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,"Samsung Galaxy Tab S6 10.5"" 256GB Android 9 Tablet With Snapdragon 8150 8-Core Processor - Mountain Grey",$779.99,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,…,$779.99,9
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,(,SAVE $220,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,9,$249.99,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,),$249.99,16
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,$779.99,SAVE $50,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,$779.99,$149.99,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,SAVE $220,$149.99,6
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,"Samsung Galaxy Tab A 10.1"" 32GB Android 9.0 Tablet With 8-Core Processor - Black",SAVE $50,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,…,$499.99,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,(,$499.99,9
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,16,SAVE $50,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,),$699.99,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,$249.99,$699.99,4
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,$249.99,SAVE $200,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,SAVE $50,$249.99,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,"Samsung Galaxy Tab A 8"" 32GB Android Tablet with Quad-Core Processor - Black",$249.99,16
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,…,SAVE $50,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,(,$699.99,(
